zipcode,zone,trange,zonetitle
00966,13a,60 to 65,13a: 60 to 65
00968,13a,60 to 65,13a: 60 to 65
00969,13a,60 to 65,13a: 60 to 65
00970,13a,60 to 65,13a: 60 to 65
00971,13a,60 to 65,13a: 60 to 65
00975,13a,60 to 65,13a: 60 to 65
00976,13a,60 to 65,13a: 60 to 65
00977,13a,60 to 65,13a: 60 to 65
00978,13a,60 to 65,13a: 60 to 65
00979,13b, >= 100,13b: >= 65
00981,13b, >= 100,13b: >= 65
00982,13b, >= 100,13b: >= 65
00983,13b, >= 100,13b: >= 65
00984,13b, >= 100,13b: >= 65
00985,13b, >= 100,13b: >= 65
00986,13b, >= 100,13b: >= 65
00987,13b, >= 100,13b: >= 65
00988,13b, >= 100,13b: >= 65
